"variant_id","campaign_id","channel","creative_type","subject_line","call_to_action","tone","length_words"
"VAR00051","CMP0015","Email","SubjectLine","Your free audit is ready","Get Audit","Playful","14"
"VAR00052","CMP0015","SMS","AdCopy","Unlock growth with Purple Merit","Learn More","Insightful","24"
"VAR00053","CMP0015","Email","AdCopy","Quick win: optimize your funnel","Start Trial","Insightful","19"
"VAR00054","CMP0015","Social","SMSCopy","Let’s boost pipeline this quarter","Learn More","Playful","6"
"VAR00055","CMP0016","Email","AdCopy","Let’s boost pipeline this quarter","Book Demo","Professional","12"
"VAR00056","CMP0016","Email","SubjectLine","Your free audit is ready","Book Demo","Insightful","19"
"VAR00057","CMP0017","Call","SubjectLine","Your free audit is ready","Download Guide","Urgent","19"
"VAR00058","CMP0017","Web","AdCopy","Let’s boost pipeline this quarter","Learn More","Professional","18"
"VAR00059","CMP0017","Web","AdCopy","Your free audit is ready","Download Guide","Professional","7"
"VAR00060","CMP0017","Web","AdCopy","Let’s boost pipeline this quarter","Learn More","Playful","14"
"VAR00061","CMP0017","SMS","SubjectLine","We saved teams 27% on CPL","Download Guide","Insightful","13"
"VAR00062","CMP0018","Web","SubjectLine","Quick win: optimize your funnel","Book Demo","Insightful","15"
"VAR00063","CMP0018","SMS","LandingPage","Unlock growth with Purple Merit","Book Demo","Professional","23"
"VAR00064","CMP0018","SMS","SubjectLine","Let’s boost pipeline this quarter","Learn More","Friendly","10"
"VAR00065","CMP0018","Web","SMSCopy","Let’s boost pipeline this quarter","Get Audit","Playful","18"
"VAR00066","CMP0018","SMS","SMSCopy","Unlock growth with Purple Merit","Start Trial","Urgent","18"
"VAR00067","CMP0019","Social","SubjectLine","Your free audit is ready","Download Guide","Insightful","20"
"VAR00068","CMP0019","Social","SMSCopy","Quick win: optimize your funnel","Book Demo","Insightful","7"
"VAR00069","CMP0019","Social","LandingPage","Let’s boost pipeline this quarter","Book Demo","Insightful","21"
"VAR00070","CMP0019","SMS","SMSCopy","We saved teams 27% on CPL","Book Demo","Professional","21"
"VAR00071","CMP0020","Social","SMSCopy","Unlock growth with Purple Merit","Get Audit","Urgent","22"
"VAR00072","CMP0020","Web","LandingPage","We saved teams 27% on CPL","Start Trial","Friendly","5"
"VAR00073","CMP0020","Web","AdCopy","Let’s boost pipeline this quarter","Learn More","Friendly","22"
"VAR00074","CMP0020","Social","SubjectLine","Your free audit is ready","Book Demo","Insightful","8"
"VAR00075","CMP0021","Email","LandingPage","Quick win: optimize your funnel","Download Guide","Insightful","20"
"VAR00076","CMP0021","Email","AdCopy","We saved teams 27% on CPL","Learn More","Professional","17"
"VAR00077","CMP0021","SMS","AdCopy","Unlock growth with Purple Merit","Download Guide","Insightful","15"
"VAR00078","CMP0022","Social","LandingPage","Let’s boost pipeline this quarter","Learn More","Playful","20"
"VAR00079","CMP0022","Social","SMSCopy","Quick win: optimize your funnel","Start Trial","Urgent","15"
"VAR00080","CMP0022","Ads","SMSCopy","We saved teams 27% on CPL","Download Guide","Professional","12"
"VAR00081","CMP0022","Ads","SMSCopy","Your free audit is ready","Start Trial","Friendly","15"
"VAR00082","CMP0023","Web","SMSCopy","Your free audit is ready","Start Trial","Friendly","9"
"VAR00083","CMP0023","Web","SubjectLine","We saved teams 27% on CPL","Book Demo","Playful","19"
"VAR00084","CMP0023","Call","AdCopy","We saved teams 27% on CPL","Get Audit","Friendly","20"
"VAR00085","CMP0023","Web","LandingPage","Quick win: optimize your funnel","Start Trial","Friendly","15"
"VAR00086","CMP0023","Web","LandingPage","We saved teams 27% on CPL","Learn More","Friendly","24"
"VAR00087","CMP0024","Ads","LandingPage","Your free audit is ready","Book Demo","Insightful","8"
"VAR00088","CMP0024","SMS","SMSCopy","Your free audit is ready","Download Guide","Friendly","6"
"VAR00089","CMP0025","Email","LandingPage","Let’s boost pipeline this quarter","Download Guide","Insightful","9"
"VAR00090","CMP0025","Ads","SMSCopy","Quick win: optimize your funnel","Get Audit","Professional","10"
"VAR00091","CMP0025","Email","SMSCopy","Quick win: optimize your funnel","Get Audit","Insightful","23"
"VAR00092","CMP0025","Ads","AdCopy","We saved teams 27% on CPL","Download Guide","Insightful","13"
"VAR00093","CMP0026","Email","LandingPage","Quick win: optimize your funnel","Get Audit","Friendly","19"
"VAR00094","CMP0026","Web","LandingPage","We saved teams 27% on CPL","Download Guide","Insightful","14"
"VAR00095","CMP0027","Call","SMSCopy","Unlock growth with Purple Merit","Get Audit","Insightful","23"
"VAR00096","CMP0027","Call","LandingPage","Let’s boost pipeline this quarter","Book Demo","Insightful","13"
"VAR00097","CMP0027","Social","SubjectLine","Quick win: optimize your funnel","Start Trial","Urgent","12"
"VAR00098","CMP0028","Ads","AdCopy","Quick win: optimize your funnel","Download Guide","Professional","25"
"VAR00099","CMP0028","Web","SubjectLine","Let’s boost pipeline this quarter","Start Trial","Friendly","23"
"VAR00100","CMP0028","Email","AdCopy","Unlock growth with Purple Merit","Download Guide","Urgent","18"
"VAR00101","CMP0028","Ads","AdCopy","Your free audit is ready","Learn More","Urgent","21"
"VAR00102","CMP0029","Web","LandingPage","We saved teams 27% on CPL","Download Guide","Urgent","8"
"VAR00103","CMP0029","Social","SubjectLine","Your free audit is ready","Get Audit","Insightful","22"
"VAR00104","CMP0029","Social","SubjectLine","We saved teams 27% on CPL","Book Demo","Urgent","22"
"VAR00105","CMP0029","Web","SMSCopy","Let’s boost pipeline this quarter","Download Guide","Playful","17"
"VAR00106","CMP0030","Ads","AdCopy","We saved teams 27% on CPL","Book Demo","Playful","22"
"VAR00107","CMP0030","Call","AdCopy","Unlock growth with Purple Merit","Start Trial","Urgent","25"
"VAR00108","CMP0030","SMS","SubjectLine","Your free audit is ready","Book Demo","Friendly","14"
"VAR00109","CMP0030","SMS","SubjectLine","Unlock growth with Purple Merit","Get Audit","Playful","9"
